"name","level","site","confidence","estimate"
"Derek Maclellan","level_1","site_1",80,0.02
"Derek Maclellan","level_2","site_1",80,0.02
"Derek Maclellan","level_3","site_1",80,0.01
"Derek Maclellan","level_4","site_1",80,0.87
"Derek Maclellan","level_5","site_1",80,0.08
"Derek Maclellan","level_1","site_2",50,0.11
"Derek Maclellan","level_2","site_2",50,0.09
"Derek Maclellan","level_3","site_2",50,0.17
"Derek Maclellan","level_4","site_2",50,0.1
"Derek Maclellan","level_5","site_2",50,0.53
"Derek Maclellan","level_1","site_3",15,0.59
"Derek Maclellan","level_2","site_3",15,0.08
"Derek Maclellan","level_3","site_3",15,0.11
"Derek Maclellan","level_4","site_3",15,0
"Derek Maclellan","level_5","site_3",15,0.22
"Christopher Felix","level_1","site_1",25,0.26
"Christopher Felix","level_2","site_1",25,0.38
"Christopher Felix","level_3","site_1",25,0.16
"Christopher Felix","level_4","site_1",25,0.08
"Christopher Felix","level_5","site_1",25,0.12
"Christopher Felix","level_1","site_2",100,0.42
"Christopher Felix","level_2","site_2",100,0.19
"Christopher Felix","level_3","site_2",100,0.15
"Christopher Felix","level_4","site_2",100,0
"Christopher Felix","level_5","site_2",100,0.24
"Christopher Felix","level_1","site_3",55,0.2
"Christopher Felix","level_2","site_3",55,0.3
"Christopher Felix","level_3","site_3",55,0.12
"Christopher Felix","level_4","site_3",55,0.05
"Christopher Felix","level_5","site_3",55,0.33
"Mar'Quasa Banks","level_1","site_1",60,0.04
"Mar'Quasa Banks","level_2","site_1",60,0.46
"Mar'Quasa Banks","level_3","site_1",60,0.11
"Mar'Quasa Banks","level_4","site_1",60,0.23
"Mar'Quasa Banks","level_5","site_1",60,0.16
"Mar'Quasa Banks","level_1","site_2",15,0.24
"Mar'Quasa Banks","level_2","site_2",15,0.31
"Mar'Quasa Banks","level_3","site_2",15,0.21
"Mar'Quasa Banks","level_4","site_2",15,0.03
"Mar'Quasa Banks","level_5","site_2",15,0.21
"Mar'Quasa Banks","level_1","site_3",75,0.07
"Mar'Quasa Banks","level_2","site_3",75,0.12
"Mar'Quasa Banks","level_3","site_3",75,0.15
"Mar'Quasa Banks","level_4","site_3",75,0.56
"Mar'Quasa Banks","level_5","site_3",75,0.1
"Mastoora al-Abdalla","level_1","site_1",100,0.4
"Mastoora al-Abdalla","level_2","site_1",100,0.37
"Mastoora al-Abdalla","level_3","site_1",100,0.22
"Mastoora al-Abdalla","level_4","site_1",100,0
"Mastoora al-Abdalla","level_5","site_1",100,0.01
"Mastoora al-Abdalla","level_1","site_2",0,0.39
"Mastoora al-Abdalla","level_2","site_2",0,0.27
"Mastoora al-Abdalla","level_3","site_2",0,0.01
"Mastoora al-Abdalla","level_4","site_2",0,0.27
"Mastoora al-Abdalla","level_5","site_2",0,0.0599999999999999
"Mastoora al-Abdalla","level_1","site_3",70,0.01
"Mastoora al-Abdalla","level_2","site_3",70,0.02
"Mastoora al-Abdalla","level_3","site_3",70,0.01
"Mastoora al-Abdalla","level_4","site_3",70,0.86
"Mastoora al-Abdalla","level_5","site_3",70,0.1
"Eriberto Munguia","level_1","site_1",95,0.15
"Eriberto Munguia","level_2","site_1",95,0.22
"Eriberto Munguia","level_3","site_1",95,0
"Eriberto Munguia","level_4","site_1",95,0.47
"Eriberto Munguia","level_5","site_1",95,0.16
"Eriberto Munguia","level_1","site_2",90,0.01
"Eriberto Munguia","level_2","site_2",90,0.22
"Eriberto Munguia","level_3","site_2",90,0.21
"Eriberto Munguia","level_4","site_2",90,0.18
"Eriberto Munguia","level_5","site_2",90,0.38
"Eriberto Munguia","level_1","site_3",55,0.13
"Eriberto Munguia","level_2","site_3",55,0.01
"Eriberto Munguia","level_3","site_3",55,0.34
"Eriberto Munguia","level_4","site_3",55,0.5
"Eriberto Munguia","level_5","site_3",55,0.02
"Paul Bol","level_1","site_1",75,0.53
"Paul Bol","level_2","site_1",75,0.09
"Paul Bol","level_3","site_1",75,0.12
"Paul Bol","level_4","site_1",75,0.09
"Paul Bol","level_5","site_1",75,0.17
"Paul Bol","level_1","site_2",20,0.28
"Paul Bol","level_2","site_2",20,0.24
"Paul Bol","level_3","site_2",20,0.09
"Paul Bol","level_4","site_2",20,0.14
"Paul Bol","level_5","site_2",20,0.25
"Paul Bol","level_1","site_3",35,0.32
"Paul Bol","level_2","site_3",35,0.05
"Paul Bol","level_3","site_3",35,0.45
"Paul Bol","level_4","site_3",35,0.03
"Paul Bol","level_5","site_3",35,0.15
