"name","category","option","confidence","estimate"
"Derek Maclellan","category_1","option_1",80,0.02
"Derek Maclellan","category_2","option_1",80,0.02
"Derek Maclellan","category_3","option_1",80,0.01
"Derek Maclellan","category_4","option_1",80,0.87
"Derek Maclellan","category_5","option_1",80,0.08
"Derek Maclellan","category_1","option_2",50,0.11
"Derek Maclellan","category_2","option_2",50,0.09
"Derek Maclellan","category_3","option_2",50,0.17
"Derek Maclellan","category_4","option_2",50,0.09
"Derek Maclellan","category_5","option_2",50,0.54
"Derek Maclellan","category_1","option_3",15,0.59
"Derek Maclellan","category_2","option_3",15,0.08
"Derek Maclellan","category_3","option_3",15,0.11
"Derek Maclellan","category_4","option_3",15,0
"Derek Maclellan","category_5","option_3",15,0.22
"Christopher Felix","category_1","option_1",25,0.26
"Christopher Felix","category_2","option_1",25,0.38
"Christopher Felix","category_3","option_1",25,0.16
"Christopher Felix","category_4","option_1",25,0.08
"Christopher Felix","category_5","option_1",25,0.12
"Christopher Felix","category_1","option_2",100,0.42
"Christopher Felix","category_2","option_2",100,0.19
"Christopher Felix","category_3","option_2",100,0.15
"Christopher Felix","category_4","option_2",100,0
"Christopher Felix","category_5","option_2",100,0.24
"Christopher Felix","category_1","option_3",55,0.2
"Christopher Felix","category_2","option_3",55,0.3
"Christopher Felix","category_3","option_3",55,0.12
"Christopher Felix","category_4","option_3",55,0.06
"Christopher Felix","category_5","option_3",55,0.32
"Mar'Quasa Banks","category_1","option_1",60,0.04
"Mar'Quasa Banks","category_2","option_1",60,0.45
"Mar'Quasa Banks","category_3","option_1",60,0.11
"Mar'Quasa Banks","category_4","option_1",60,0.24
"Mar'Quasa Banks","category_5","option_1",60,0.16
"Mar'Quasa Banks","category_1","option_2",15,0.24
"Mar'Quasa Banks","category_2","option_2",15,0.31
"Mar'Quasa Banks","category_3","option_2",15,0.21
"Mar'Quasa Banks","category_4","option_2",15,0.02
"Mar'Quasa Banks","category_5","option_2",15,0.22
"Mar'Quasa Banks","category_1","option_3",75,0.07
"Mar'Quasa Banks","category_2","option_3",75,0.12
"Mar'Quasa Banks","category_3","option_3",75,0.15
"Mar'Quasa Banks","category_4","option_3",75,0.57
"Mar'Quasa Banks","category_5","option_3",75,0.09
"Mastoora al-Abdalla","category_1","option_1",100,0.4
"Mastoora al-Abdalla","category_2","option_1",100,0.37
"Mastoora al-Abdalla","category_3","option_1",100,0.22
"Mastoora al-Abdalla","category_4","option_1",100,0
"Mastoora al-Abdalla","category_5","option_1",100,0.01
"Mastoora al-Abdalla","category_1","option_2",0,0.39
"Mastoora al-Abdalla","category_2","option_2",0,0.28
"Mastoora al-Abdalla","category_3","option_2",0,0.01
"Mastoora al-Abdalla","category_4","option_2",0,0.27
"Mastoora al-Abdalla","category_5","option_2",0,0.05
"Mastoora al-Abdalla","category_1","option_3",70,0.01
"Mastoora al-Abdalla","category_2","option_3",70,0.01
"Mastoora al-Abdalla","category_3","option_3",70,0.01
"Mastoora al-Abdalla","category_4","option_3",70,0.86
"Mastoora al-Abdalla","category_5","option_3",70,0.11
"Eriberto Munguia","category_1","option_1",95,0.15
"Eriberto Munguia","category_2","option_1",95,0.22
"Eriberto Munguia","category_3","option_1",95,0.01
"Eriberto Munguia","category_4","option_1",95,0.47
"Eriberto Munguia","category_5","option_1",95,0.15
"Eriberto Munguia","category_1","option_2",90,0.01
"Eriberto Munguia","category_2","option_2",90,0.22
"Eriberto Munguia","category_3","option_2",90,0.21
"Eriberto Munguia","category_4","option_2",90,0.18
"Eriberto Munguia","category_5","option_2",90,0.38
"Eriberto Munguia","category_1","option_3",55,0.13
"Eriberto Munguia","category_2","option_3",55,0.01
"Eriberto Munguia","category_3","option_3",55,0.34
"Eriberto Munguia","category_4","option_3",55,0.49
"Eriberto Munguia","category_5","option_3",55,0.03
"Paul Bol","category_1","option_1",75,0.53
"Paul Bol","category_2","option_1",75,0.09
"Paul Bol","category_3","option_1",75,0.12
"Paul Bol","category_4","option_1",75,0.08
"Paul Bol","category_5","option_1",75,0.18
"Paul Bol","category_1","option_2",20,0.28
"Paul Bol","category_2","option_2",20,0.24
"Paul Bol","category_3","option_2",20,0.09
"Paul Bol","category_4","option_2",20,0.14
"Paul Bol","category_5","option_2",20,0.25
"Paul Bol","category_1","option_3",35,0.32
"Paul Bol","category_2","option_3",35,0.05
"Paul Bol","category_3","option_3",35,0.46
"Paul Bol","category_4","option_3",35,0.02
"Paul Bol","category_5","option_3",35,0.15
